sample,exposure,outcome,term,coef,se,pvalue
COAST,A_v_log,lnpov_z,A,-0.14961171494962675,0.028486670590448956,1.5046446492006464e-07
COAST,A_v_log,lnpov_z,WA,-0.0023879600299397986,0.05433175342830102,0.9649430936656734
COAST,A_v_log,lnpov_z,r308b1d,0.027834459102809805,0.019981102472907075,0.16360793556179332
COAST,A_v_log,lnpov_z,r308b1e,0.008572677584383813,0.021204184831741506,0.6859981709455574
COAST,A_v_log,lnpov_z,r309a,-0.05173002866983651,0.04476479210667371,0.24784631720873818
COAST,A_v_log,lnpov_z,r309b,0.02393615967200205,0.019280004627215058,0.21442044850640907
COAST,A_v_log,lnpov_z,r309d,-0.03439402857749805,0.014980658380055968,0.02168184789216112
COAST,A_v_log,lnpov_z,r309e,-0.013949809429949302,0.03095314937715747,0.652223830269716
COAST,A_v_log,lnpov_z,r310,0.0411629342882413,0.021819883659361498,0.0592293128024127
COAST,A_v_log,lnpov_z,r403a,-0.024419823785815812,0.003831651477672741,1.8514230603379386e-10
COAST,A_v_log,lnpov_z,r403c1,0.039557937089628376,0.012380068539253363,0.0013968930969824821
COAST,A_v_log,lnpov_z,r403c2,0.01837540851012542,0.00833697737085696,0.027518352161720806
COAST,A_v_log,Wbasic_z,A,0.0934046135827191,0.017837080959583324,1.6361352115259535e-07
COAST,A_v_log,Wbasic_z,WA,0.0043792764610090795,0.0245282138078806,0.8582986168397888
COAST,A_v_log,Wbasic_z,r308b1d,-0.03660069954903034,0.013759037592815796,0.007811267288156262
COAST,A_v_log,Wbasic_z,r308b1e,-0.006772999056869597,0.01720460929441495,0.6938220957776555
COAST,A_v_log,Wbasic_z,r309a,0.017893711358795857,0.030377998302459464,0.5558376376738912
COAST,A_v_log,Wbasic_z,r309b,-0.015355425617780088,0.01325290204722897,0.2466003974085873
COAST,A_v_log,Wbasic_z,r309d,0.03378943053895882,0.011059374243648855,0.0022485418486085803
COAST,A_v_log,Wbasic_z,r309e,-0.040603605660607806,0.02099250449280973,0.05308910754997235
COAST,A_v_log,Wbasic_z,r310,0.03315224964897558,0.014832444724565356,0.025409667293803666
COAST,A_v_log,Wbasic_z,r403a,0.031203721352760394,0.002967103994333122,7.24729066160553e-26
COAST,A_v_log,Wbasic_z,r403c1,-0.05862378706703765,0.010216503540001113,9.571868800217634e-09
COAST,A_v_log,Wbasic_z,r403c2,-0.031352024801139376,0.007603465417766707,3.733428602442153e-05
COAST,Ker5_w1,lnpov_z,A,-0.28976332293953133,0.0497072109990077,5.562630095065538e-09
COAST,Ker5_w1,lnpov_z,WA,-0.16181299579656463,0.08894095567274866,0.06886101868264632
COAST,Ker5_w1,lnpov_z,r308b1d,0.033334353751906916,0.020041383789026777,0.09625718969499211
COAST,Ker5_w1,lnpov_z,r308b1e,0.005764288573963356,0.02148872027592096,0.7885090623687131
COAST,Ker5_w1,lnpov_z,r309a,-0.050400968550359235,0.04680995479447125,0.28160772287544633
COAST,Ker5_w1,lnpov_z,r309b,0.02481201361372475,0.019908738848245747,0.2126588423010054
COAST,Ker5_w1,lnpov_z,r309d,-0.034571941551462745,0.01509363256922219,0.02199244006520854
COAST,Ker5_w1,lnpov_z,r309e,-0.011498624159962268,0.031307110003572315,0.7134066260355871
COAST,Ker5_w1,lnpov_z,r310,0.03664884049377419,0.020895930110726022,0.07945200143095617
COAST,Ker5_w1,lnpov_z,r403a,-0.02393522543047007,0.003789110879954475,2.6695740196519096e-10
COAST,Ker5_w1,lnpov_z,r403c1,0.04234565159667732,0.012022107147426485,0.0004277950661043258
COAST,Ker5_w1,lnpov_z,r403c2,0.020037172160768564,0.0084198532531332,0.017324239744579303
COAST,Ker5_w1,Wbasic_z,A,0.1666694826383019,0.035784869691359904,3.2000936342538707e-06
COAST,Ker5_w1,Wbasic_z,WA,0.1545706614476582,0.057414700869744505,0.0070986799020475765
COAST,Ker5_w1,Wbasic_z,r308b1d,-0.03920710227882877,0.013702661349567899,0.004219389471430151
COAST,Ker5_w1,Wbasic_z,r308b1e,-0.004786520579873802,0.017149105590471038,0.780158900218699
COAST,Ker5_w1,Wbasic_z,r309a,0.01745484991116699,0.031101663642005208,0.574648134891828
COAST,Ker5_w1,Wbasic_z,r309b,-0.01615223488704369,0.013522867996232797,0.23230646340658312
COAST,Ker5_w1,Wbasic_z,r309d,0.03350145908491042,0.011464446074637005,0.003475629438276706
COAST,Ker5_w1,Wbasic_z,r309e,-0.040886472174733283,0.02128405108706393,0.05473283270003895
COAST,Ker5_w1,Wbasic_z,r310,0.03606701921855916,0.015070918287422456,0.016704255866096227
COAST,Ker5_w1,Wbasic_z,r403a,0.030709368532832796,0.0029201996898656664,7.275810149388506e-26
COAST,Ker5_w1,Wbasic_z,r403c1,-0.05996619946891289,0.010026312442894614,2.219315404527373e-09
COAST,Ker5_w1,Wbasic_z,r403c2,-0.032236797072848676,0.007739132613531734,3.107694519739158e-05
COAST,Ker10_w1,lnpov_z,A,-0.22609894815272077,0.05017520554459071,6.60023731039394e-06
COAST,Ker10_w1,lnpov_z,WA,-0.1073874199872295,0.08013398394280867,0.18021337113180447
