sample,exposure,outcome,term,coef
COAST,A_v_log,lnpov_z,rho,[0.78456506]
COAST,A_v_log,lnpov_z,A_hat,[0.00808576]
COAST,A_v_log,lnpov_z,WA_hat,[-0.30473091]
COAST,A_v_log,lnpov_z,r308b1d,[0.24823642]
COAST,A_v_log,lnpov_z,r308b1e,[-0.00869615]
COAST,A_v_log,lnpov_z,r309a,[0.03999004]
COAST,A_v_log,lnpov_z,r309b,[-0.06755274]
COAST,A_v_log,lnpov_z,r309d,[0.01945575]
COAST,A_v_log,lnpov_z,r309e,[-0.02087896]
COAST,A_v_log,lnpov_z,r310,[-0.03673329]
COAST,A_v_log,lnpov_z,r403a,[0.04369104]
COAST,A_v_log,lnpov_z,r403c1,[-0.01362992]
COAST,A_v_log,lnpov_z,r403c2,[0.00860339]
COAST,A_v_log,Wbasic_z,rho,[0.60997902]
COAST,A_v_log,Wbasic_z,A_hat,[-0.01013757]
COAST,A_v_log,Wbasic_z,WA_hat,[0.26861902]
COAST,A_v_log,Wbasic_z,r308b1d,[-0.22257402]
COAST,A_v_log,Wbasic_z,r308b1e,[-0.00759297]
COAST,A_v_log,Wbasic_z,r309a,[-0.0195354]
COAST,A_v_log,Wbasic_z,r309b,[0.01817817]
COAST,A_v_log,Wbasic_z,r309d,[-0.01362558]
COAST,A_v_log,Wbasic_z,r309e,[0.01586094]
COAST,A_v_log,Wbasic_z,r310,[-0.0111733]
COAST,A_v_log,Wbasic_z,r403a,[0.02099144]
COAST,A_v_log,Wbasic_z,r403c1,[0.02101647]
COAST,A_v_log,Wbasic_z,r403c2,[-0.03134155]
COAST,Ker5_w1,lnpov_z,rho,[0.82756636]
COAST,Ker5_w1,lnpov_z,A_hat,[0.00852893]
COAST,Ker5_w1,lnpov_z,WA_hat,[-1.21636461]
COAST,Ker5_w1,lnpov_z,r308b1d,[1.03505584]
COAST,Ker5_w1,lnpov_z,r308b1e,[-0.00571075]
COAST,Ker5_w1,lnpov_z,r309a,[0.0277064]
COAST,Ker5_w1,lnpov_z,r309b,[-0.05082225]
COAST,Ker5_w1,lnpov_z,r309d,[0.02231123]
COAST,Ker5_w1,lnpov_z,r309e,[-0.02023656]
COAST,Ker5_w1,lnpov_z,r310,[-0.03406165]
